seed	step	L1	L2	L1/L2	mu_w	median_w	sigma_w	mu_b	median_b	sigma_b	trace	lambda_max	trace/lambda	mu_lambda	sigma_lambda
0	512	34648.41605050223	22.501784626318482	1098.3099453315822	-9.81264776100943e-08	1.430511474609375e-06	0.00038653015508316457	-0.0004655441443901509	-0.0004935264587402344	2.675687392184045e-05	-0.057898560348822146	1.6679949474578002	-0.016787661086223496	0.7795926776467538	0.059890862373749215
0	1000	35839.51741868623	23.387005718386902	1096.6814349631015	-8.048509130276216e-07	1.8477439880371094e-06	0.00040686444845050573	-0.0015657985350117087	-0.0016088485717773438	0.0005245500360615551	-0.07143886843506171	2.4659839163021164	-0.02375112836307238	0.8028894212781167	0.07777712026572957
0	2000	42842.62252869898	28.246238163539342	1094.2765950737592	-9.04378168797848e-07	6.556510925292969e-07	0.0005431243916973472	-0.0033765302505344152	-0.004180908203125	0.011551792733371258	-0.07341753098429465	4.2912063039079005	-0.00920856240151046	0.9416389936695293	0.1908328670020006
0	3000	48821.7618881537	32.236923665416484	1092.7182607543969	-3.2841867323440965e-06	-3.5762786865234375e-07	0.0006823489675298333	-0.004081436432898045	-0.004680633544921875	0.049732208251953125	-0.03775517551266417	5.266970936132937	0.0013858588780429144	1.0600064530664561	0.3043249640993926
0	4000	53662.384486607145	35.460769225140005	1092.0664204677769	-7.0453252192237414e-06	-3.4570693969726562e-06	0.000809595687314868	-0.004649569280445576	-0.005245208740234375	0.10939287394285202	-0.04082936535076219	5.8040459350663784	-0.0017210915792024183	1.158887810244852	0.39729437627354447
0	5000	57728.08826929209	38.17152009691511	1091.9667185264627	-1.1162228474859148e-05	-6.735324859619141e-06	0.0009262188686989248	-0.005138733424246311	-0.005901336669921875	0.18032801151275635	-0.055747819190122644	6.125233813207977	-0.0014138487337856025	1.2445401293890817	0.47199641472222853
0	6000	60527.13727678572	40.476207343899475	1089.3979951258266	-1.4952489436836913e-05	-1.055002212524414e-05	0.0010323034366592765	-0.005598930642008781	-0.006572723388671875	0.25161126255989075	-0.04556328301527062	6.337139543221921	-0.00237300403470607	1.3190152791081642	0.5316963089363915
0	7000	63060.77694515306	42.481700819365834	1088.0027517813205	-1.738483115332201e-05	-1.3828277587890625e-05	0.0011291344417259097	-0.006062421016395092	-0.00722503662109375	0.3141472041606903	-0.045988217908508926	6.481717304307587	-0.002875923128807193	1.3848922763551985	0.5797210653521576
0	8000	65342.56359614158	44.24024110910844	1087.1708950829718	-1.9184442862751894e-05	-1.3589859008789062e-05	0.0012172932038083673	-0.0065198373049497604	-0.00789642333984375	0.3732854425907135	-0.005458427935230489	6.610189583836769	0.004629309897840875	1.443088064388353	0.6193809793615828
0	9000	67392.99764827806	45.80215461886659	1086.3857970969539	-2.017961560341064e-05	-1.3768672943115234e-05	0.0012979309540241957	-0.0068844216875731945	-0.0085296630859375	0.4572544991970062	-0.032265256862251124	6.804970926168013	8.420592041329426e-05	1.494395804040286	0.6542734594977632
0	10000	69212.61810427296	47.15968501811125	1086.0273683667156	-2.093627153954003e-05	-1.4662742614746094e-05	0.001370032667182386	-0.007316573988646269	-0.00914764404296875	0.527946949005127	-0.04922283182338792	6.914898468523609	-0.004168367586146759	1.5397298603641743	0.6809486067112611
0	11000	70837.66352439413	48.38275154269471	1085.4751565963084	-2.129080348822754e-05	-1.2576580047607422e-05	0.0014359692577272654	-0.0076706246472895145	-0.00972747802734375	0.6220858097076416	-0.03739117846197011	7.098592072117086	-0.003375453752514879	1.5799183103503014	0.7057250557201249
0	12000	72272.8606903699	49.456924827731385	1084.9916783042852	-2.1752050088252872e-05	-1.0967254638671875e-05	0.0014949755277484655	-0.00806230679154396	-0.01026153564453125	0.7185171246528625	-0.06700085255564475	7.249879331004863	-0.005747643565500304	1.6153230192709942	0.7260240936765865
